Key;English;Русский^
ability-blink-description;Teleport on a short distance.;Телепорт на короткую дистанцию^
ability-blink-name;Transfer;Перенос^
ability-invasion-description;Take control of target enemy unit. You must have enough <kw>control slots</kw> available.;Получите контроль надо выбранным вражеским юнитом У вас должно быть достаточно свободных <kw>ячеек контроля</kw>^
ability-invasion-name;Invasion;Вторжение^
ability-lockdown-description;<kw>Lock</kw> target unit for 6 sec. Lock prevents unit from attacking, using it's active and passive abilities.;<kw>Блокирует</kw> выбранного юнита на 6 сек. Блокировка не позволяет юниту атаковать, использовать свои активные и пассивные способности.^
ability-lockdown-name;Hinderance;Прерывание^
ability-stat-cooldown;Cooldown: # sec.;Восстановление: # сек.^
ability-stat-energy;Cost: # energy;Стоимость: # энергии^
ability-stat-range;Range: #;Дальность: #^
order;Order;Приказ^
order-ability;Ability;Способность^
order-attack-description;Attack target unit or move to target point attacking any enemy on the path.;Атаковать выбранного юнита или двигаться к выбранной точке, атакуя всех вражеских юнитов на своём пути.^
order-attack-name;Attack;Атаковать^
order-hold-position-description;Order unit to stand still indefinitely.;Приказать юниту оставаться на месте.^
order-hold-position-name;Hold position;Удерживать позицию^
order-move-description;Move to target point or follow target unit.;Двигаться к выбранной точке или следовать за выбанным юнитом.^
order-move-name;Move;Двигаться^
order-passive;Passive;Пассивная способность^
order-stop-description;Cancel all current orders.;Отменить все текущие приказы.^
order-stop-name;Stop;Остановиться^
ordererror-ability-not-ready;Ability not ready;Способность не готова^
ordererror-target-invulnerable;;^
ordererror-cannot-attack;Cannot attack;Невозможно атаковать^
ordererror-cannot-move;Cannot move;Невозможно двигаться^
ordererror-cannot-target-self;Cannot target self;Нельзя выбирать целью себя^
ordererror-generic;Cannot do this;Действие невозможно^
ordererror-locked;Cannot use abilities right now;Способности временно недоступны^
ordererror-must-target-unit;Target a unit;Выберите юнита^
ordererror-not-enough-energy;Not enough energy;Недостаточно энергии^
ordererror-out-of-range;Target is out of range;Цель вне досягаемости^
ordererror-passive;Cannot use passive ability;Невозможно использовать пассивную способность^
ordererror-target-invalid;Target is invalid;Неверная цель^
passive-concussion-description;Оглушение;Атаки этого юнита снижают скорость атаки и перемещения.^
passive-concussion-name;Concussion;This unit's attacks slow target's move and attack speed^
passive-detector-description;Can detect cloaked hostile units nearby;Может обнаруживать замаскированных вражеских юнитов поблизости^
passive-detector-name;Detector;Детектор^
status;Status;Состояние^
status-cloaked-description;Cannot be targeted by hostile attacks and abilities, unless it is detected;Не может быть целью вражеских атак и способностей, если он не обнаружен^
status-cloaked-name;Cloaked;Маскировка^
status-detected-description;Can be targeted by hostile attacks and abilities even if its is cloaked;Может быть целью вражеских атак и способностей, даже если он замаскирован^
status-detected-name;Detected;Обнаружен^
status-detector-description;Can detect cloaked hostile units nearby;Может обнаруживать замаскированных вражеских юнитов поблизости^
status-detector-name;Detector;Детектор^
status-duration;<stat># sec. left</stat>;<stat># сек. осталось</stat>^
status-invasion-description;You can control this unit;Вы получаете контроль над этим юнитом^
status-invasion-name;Invasion;Вторжение^
status-locked-description;Cannot attack, use active and passive abilities;Не может атаковать, использовать активные и пассивные способности^
status-locked-name;Locked;Заблокирован^
status-shield-battery-description;Restores shields to nearby friendly units;Восстанавливает щиты дружественных юнитов поблизости^
status-shield-battery-name;Shield restoration;Восстановление щитов^
status-temporary-description;Has limited lifetime;Имеет ограниченное время жизни^
status-temporary-name;Temporary;Временный^
tutorial-attack-description;;Нажмите правой кнопкой мыши на противника, чтобы приказать выбранному юниту его атаковать^
tutorial-attack-label;;Атака^
tutorial-basic-controls-description;;Нажмите левой кнопкой мыши на своего юнита, чтобы выбрать его.

Нажмите правой кнопкой мыши в любом месте, чтобы приказать выбранному юниту двигаться в эту точку^
tutorial-basic-controls-label;;Базовое управление^
tutorial-camera-description;;Для того, чтобы переместить камеру зажмите среднюю кнопку мыши или подведите курсор к краю экрана

Используйте колёсико мыши, чтобы масштабировать камеру^
tutorial-camera-label;;Управление камерой^
tutorial-cloak-description;;Теперь вы замаскированы.

Противники не могут атаковать вас напрямую, даже если вы находитесь в области их видимости.^
tutorial-cloak-label;;Маскировка^
tutorial-control-description;;Вы можете контроллировать несколько вражеских юнитов. пока у вас достаточно свободных ячеек контроля.

Убивайте вражеских юнитов, чтобы восстанавливать ячейки контроля.^
tutorial-control-label;;Ячейки контроля^
tutorial-detectors-description;;Детекторы могут обнаруживать вас даже в маскировке.

Пока вы находить в области действия детектора, ваша маскировка не действиует.

